2025-05-13 14:50:19,663 - root - INFO - Starting sequential batch processing
2025-05-13 14:50:19,664 - root - INFO - Processing notch 1 of 1
2025-05-13 14:50:19,664 - root - INFO - Processing notch: Notch_01
2025-05-13 14:50:20,620 - root - INFO - Generated configuration for cycle 14 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,626 - root - INFO - Generated configuration for cycle 14 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,632 - root - INFO - Generated configuration for cycle 14 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,638 - root - INFO - Generated configuration for cycle 14 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,643 - root - INFO - Generated configuration for cycle 14 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,649 - root - INFO - Generated configuration for cycle 14 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,654 - root - INFO - Generated configuration for cycle 15 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,659 - root - INFO - Generated configuration for cycle 15 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,665 - root - INFO - Generated configuration for cycle 15 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,670 - root - INFO - Generated configuration for cycle 15 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,675 - root - INFO - Generated configuration for cycle 15 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,680 - root - INFO - Generated configuration for cycle 15 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,686 - root - INFO - Generated configuration for cycle 15 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,691 - root - INFO - Generated configuration for cycle 15 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,696 - root - INFO - Generated configuration for cycle 15 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,702 - root - INFO - Generated configuration for cycle 15 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,708 - root - INFO - Generated configuration for cycle 15 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,713 - root - INFO - Generated configuration for cycle 15 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,717 - root - INFO - Generated configuration for cycle 16 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,723 - root - INFO - Generated configuration for cycle 16 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,728 - root - INFO - Generated configuration for cycle 16 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,735 - root - INFO - Generated configuration for cycle 16 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,740 - root - INFO - Generated configuration for cycle 16 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,747 - root - INFO - Generated configuration for cycle 16 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,752 - root - INFO - Generated configuration for cycle 16 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,757 - root - INFO - Generated configuration for cycle 16 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,763 - root - INFO - Generated configuration for cycle 16 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,767 - root - INFO - Generated configuration for cycle 16 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,773 - root - INFO - Generated configuration for cycle 16 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,778 - root - INFO - Generated configuration for cycle 16 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,784 - root - INFO - Generated configuration for cycle 17 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,789 - root - INFO - Generated configuration for cycle 17 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,793 - root - INFO - Generated configuration for cycle 17 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,799 - root - INFO - Generated configuration for cycle 17 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,805 - root - INFO - Generated configuration for cycle 17 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,810 - root - INFO - Generated configuration for cycle 17 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,815 - root - INFO - Generated configuration for cycle 17 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,823 - root - INFO - Generated configuration for cycle 17 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,828 - root - INFO - Generated configuration for cycle 17 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,834 - root - INFO - Generated configuration for cycle 17 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,841 - root - INFO - Generated configuration for cycle 17 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,846 - root - INFO - Generated configuration for cycle 17 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,852 - root - INFO - Generated configuration for cycle 18 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,856 - root - INFO - Generated configuration for cycle 18 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,863 - root - INFO - Generated configuration for cycle 18 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,869 - root - INFO - Generated configuration for cycle 18 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,874 - root - INFO - Generated configuration for cycle 18 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,880 - root - INFO - Generated configuration for cycle 18 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,885 - root - INFO - Generated configuration for cycle 18 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,891 - root - INFO - Generated configuration for cycle 18 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,897 - root - INFO - Generated configuration for cycle 18 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,902 - root - INFO - Generated configuration for cycle 18 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,908 - root - INFO - Generated configuration for cycle 18 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,913 - root - INFO - Generated configuration for cycle 18 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,920 - root - INFO - Generated configuration for cycle 19 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,928 - root - INFO - Generated configuration for cycle 19 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,935 - root - INFO - Generated configuration for cycle 19 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,942 - root - INFO - Generated configuration for cycle 19 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,948 - root - INFO - Generated configuration for cycle 19 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,953 - root - INFO - Generated configuration for cycle 19 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,960 - root - INFO - Generated configuration for cycle 19 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,967 - root - INFO - Generated configuration for cycle 19 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,972 - root - INFO - Generated configuration for cycle 19 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,978 - root - INFO - Generated configuration for cycle 19 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,983 - root - INFO - Generated configuration for cycle 19 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,989 - root - INFO - Generated configuration for cycle 19 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,994 - root - INFO - Generated configuration for cycle 20 with parameters: subset=23, step=2, VSG=4
